;Required skill
1176;продажа комплексных проектов
1177;арбитражные суды
1178;государственные закупки
1179;составление исков
1180;гражданское право
1181;взыскание задолженности
1182;тендеры
1183;опыт судебных разбирательств
1184;44-фз
1185;223-фз
1186;претензионная работа
1187;корпоративное право
1188;юридическое сопровождение
1189;администрирование серверов
1190;active directory
1191;windows server 2003
1192;ms sql
1193;cisco
1194;windows server 2008 r2
1195;настройка серверов
1196;ms exchange server
1197;vmware
1198;техническая поддержка
1199;ms excel
1200;ms outlook
1201;ms word
1202;настройка пк
1203;администрирование
1204;управление продажами
1205;развитие продаж
1206;логистика поставок
1207;управление цепочкой поставок
1208;торговый маркетинг
1209;бизнес-анализ
1210;бизнес-планирование
1211;логистика
1212;b2b продажи
1213;руководство коллективом
1214;организаторские навыки
1215;холодные продажи
1216;работа в команде
1217;заключение договоров
1218;деловое общение
1219;ведение переговоров
1220;управление проектами
1221;планирование продаж
1222;поиск и привлечение клиентов
1223;olap (online analytical processing)
1224;ms sql server
1225;postgresql
1226;ms sql
1227;sql
1228;ssas
1229;sql-запросы
1230;business intelligence systems
1231;sql server
1232;mdх
1233;оптимизация запросов
1234;руководство коллективом
1235;постановка задач разработчикам
1236;базы данных
1237;системное мышление
1238;1с: управление предприятием
1239;деловая коммуникация
1240;ведение переговоров
1241;ms powerpoint
1242;работа в команде
1243;телефонные переговоры
1244;управление проектами
1245;internet
1246;навыки продаж
1247;холодные продажи
1248;ms outlook
1249;пользователь пк
1250;организация мероприятий
1251;ориентация на результат
1252;деловая переписка
1253;b2b продажи
1254;заключение договоров
1255;разработка нового продукта
1256;регресcионное тестирование
1257;функциональное тестирование
1258;тестирование пользовательского интерфейса
1259;техническая поддержка
1260;тестирование
1261;beta-тестирования
1262;нагрузочное тестирование
1263;b2b продажи
1264;управление продажами
1265;linux
1266;настройка по
1267;crm
1268;консультирование клиентов по телефону
1269;обучение персонала
1270;коммуникабельность
1271;стрессоустойчивость
1272;управление проектами
1273;управление интернет-проектами
1274;python
1275;linux
1276;sql
1277;английский язык
1278;базы данных
1279;управление продажами
1280;бизнес-анализ
1281;оптимизация бизнес-процессов
1282;бизнес-планирование
1283;планирование продаж
1284;spring framework
1285;javascript
1286;java
1287;hibernate orm
1288;html
1289;администрирование серверов windows
1290;техническое обслуживание
1291;настройка сетевых подключений
1292;системы видеонаблюдения
1293;администрирование сетевого оборудования
1294;администрирование серверов
1295;информационная безопасность
1296;системное администрирование
1297;idef
1298;uml
1299;ms visio
1300;системный анализ
1301;atlassian jira
1302;управление проектами
1303;управление рисками
1304;деловая коммуникация
1305;организаторские навыки
1306;sales skills
1307;presentation skills
1308;negotiation skills
1309;channel partner development
1310;business english
1311;windows 7
1312;управление продажами
1313;активные продажи
1314;холодные продажи
1315;развитие продаж
1316;стратегический маркетинг
1317;иметь общее понятие о системах безопасности
1318;ремонт пк
1319;настройка пк
1320;helpdesk
1321;настройка сетевых подключений
1322;windows 7
1323;iot
1324;управление проектами
1325;управление продуктом
1326;управление процессами
1327;системное мышление
1328;разработка концепции
1329;развитие бизнеса
1330;проведение презентаций
1331;управление проектами
1332;системы безопасности
1333;ведение переговоров
1334;управление продажами
